Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/1/16,41.2,38.1,33.9,26.9,21.9,16.9,60,51,45,28.4,11.3,1.3,30.1,29.96,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/2/16,39.4,35.2,32.4,19.3,17.5,14,56,48,42,25.3,10.1,0,30.11,29.95,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/3/16,44.7,38.6,34.5,23.5,21.1,19.5,60,49,36,28.4,10.8,1.6,29.97,29.78,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/4/16,35.6,25.9,12.1,23.8,9,-0.8,62,48,31,36.5,10.2,1.1,30.39,29.86,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/5/16,28.8,18.5,10,6.5,-0.2,-6.9,64,45,21,27.5,6.2,0,30.64,30.37,30.5,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/6/16,42.1,31.8,21.3,10.9,4,-2.6,53,32,15,17.7,4.7,0,30.6,30.41,30.5,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/7/16,46.7,37.1,28.1,16.1,10.1,3.6,49,33,17,11.6,2.5,0,30.42,30.18,30.3,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/8/16,43.1,37.7,30.4,34,24.5,8.7,72,59,36,23,5.4,0,30.26,30.16,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/9/16,44.7,42.2,38.2,43,37.3,31,94,82,71,25.7,6.5,0,30.23,30.05,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/10/16,57.1,49.4,40.3,55.8,43.8,23.5,97,83,46,52.3,14.2,0,30.06,29.29,29.7,2
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/11/16,40.2,31.4,25.1,23,7.7,0.6,50,36,24,40.5,16.3,2,30.14,29.6,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/12/16,43,32,22.8,29.8,14.3,1.3,78,48,33,32.7,8.1,0,30.12,29.64,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/13/16,28.7,24.7,21.6,6.5,3.8,0.6,49,40,30,45,16.3,2,30.04,29.73,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/14/16,36.4,28.9,21.3,22.6,12.1,1.4,70,49,40,24.6,8.6,0,30,29.88,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/15/16,46.9,39.6,30.8,41.5,31.6,21.9,94,73,59,15.7,2.6,0,29.97,29.54,29.8,0.01
